Chemical_Name,Skin_Type,Description
"glycerin', 'ethylhexyl",Oily Skin,A fatty alcohol used as an emollient and thickening agent. It may be comedogenic for oily skin types.
"alcohol denat',",Combination Skin,A humectant that attracts moisture to the skin. It is lightweight and suitable for oily and combination skin types.
"rosa damascena',",All Skin type,"A humectant that attracts moisture to the skin, suitable for all skin types."
"alcohol denat',",All Skin type,"A humectant that attracts moisture to the skin, suitable for all skin types."
nelumbo nucifera,All Skin type,"A humectant that attracts moisture to the skin, suitable for all skin types."
"glycerin', 'chamomilla",All Skin type,"A humectant that attracts moisture to the skin, suitable for all skin types."
"alcohol denat',",All Skin type,"A humectant that attracts moisture to the skin, suitable for all skin types."
"glycerin', 'alcohol",Combination Skin,A humectant that attracts moisture to the skin. It is lightweight and suitable for oily and combination skin types.
"glycerin', 'sodium",All Skin type,"A humectant that attracts moisture to the skin, suitable for all skin types."
"glycerin', 'sodium",All Skin type,"A humectant that attracts moisture to the skin, suitable for all skin types."
"butylene glycol',",All Skin type,"A humectant that attracts moisture to the skin, suitable for all skin types."
"glycerin', 'butylene",All Skin type,"A humectant that attracts moisture to the skin, suitable for all skin types."
"glycolic acid',",All Skin type,"A humectant that attracts moisture to the skin, suitable for all skin types."
"glycerin', 'castor",All Skin type,"A humectant that attracts moisture to the skin, suitable for all skin types."
"pentylene glycol',",Combination Skin,"An alpha hydroxy acid (AHA) that helps to exfoliate and brighten the skin, suitable for oily and combination skin types."
"methyl gluceth-20',",All Skin type,"A humectant that attracts moisture to the skin, suitable for all skin types."
"rosa damascena',",Combination Skin,A humectant that attracts moisture to the skin. It is lightweight and suitable for oily and combination skin types.
"glycerin', 'sodium",All Skin type,"A humectant that attracts moisture to the skin, suitable for all skin types."
rosa centifolia,All Skin type,"A humectant that attracts moisture to the skin, suitable for all skin types."
"butylene glycol',",All Skin type,"A humectant that attracts moisture to the skin, suitable for all skin types."
"butylene glycol',",Dry Skin,A moisturizing agent derived from coconut oil. It helps to hydrate and replenish dry skin.
aloe barbadenis,All Skin type,"A humectant that attracts moisture to the skin, suitable for all skin types."
"1,2-hexanediol', 'methylpropanediol',",Combination Skin,A humectant that attracts moisture to the skin. It is lightweight and suitable for oily and combination skin types.
"butylene glycol',",All Skin type,"A humectant that attracts moisture to the skin, suitable for all skin types."
"hamamelis virginiana',",All Skin type,"A humectant that attracts moisture to the skin, suitable for all skin types."
"alcohol', 'rosa",All Skin type,"A humectant that attracts moisture to the skin, suitable for all skin types."
"allantoin', 'diglycerin',",All Skin type,"A humectant that attracts moisture to the skin, suitable for all skin types."
"alcohol denat',",All Skin type,"A humectant that attracts moisture to the skin, suitable for all skin types."
"dimethicon', 'squalene',",All Skin type,"A humectant that attracts moisture to the skin, suitable for all skin types."
snail secretion,Dry Skin,A moisturizing agent derived from coconut oil. It helps to hydrate and replenish dry skin.
aloe barbadenis,All Skin type,"A humectant that attracts moisture to the skin, suitable for all skin types."
aloe barbadenis,All Skin type,"A humectant that attracts moisture to the skin, suitable for all skin types."
"alcohol', 'propanediol',",Combination Skin,A humectant that attracts moisture to the skin. It is lightweight and suitable for oily and combination skin types.
"rosa damascena',",All Skin type,"A humectant that attracts moisture to the skin, suitable for all skin types."
"butylene glycol',",All Skin type,"A humectant that attracts moisture to the skin, suitable for all skin types."
"butylene glycol',",Dry Skin,"A fatty acid with emollient properties, suitable for dry skin."
"pumice', 'glycolic",All Skin type,"A humectant that attracts moisture to the skin, suitable for all skin types."
"glycerin', 'sodium",All Skin type,"A humectant that attracts moisture to the skin, suitable for all skin types."
coffea robusta,Dry Skin,"An amino acid that helps to maintain skin hydration, beneficial for dry skin."
"tridecyl stearate',",Dry Skin,A moisturizing agent derived from coconut oil. It helps to hydrate and replenish dry skin.
"capric triglyceride',",Dry Skin,A moisturizing agent derived from coconut oil. It helps to hydrate and replenish dry skin.
aloe barbadenis,Oily Skin,A fatty alcohol used as an emollient and thickening agent. It may be comedogenic for oily skin types.
"glycerin', 'pentylene",All Skin type,"A humectant that attracts moisture to the skin, suitable for all skin types."
"sucrose', 'vitis",Dry Skin,"An amino acid that helps to maintain skin hydration, beneficial for dry skin."
"glyceryl stearate',",Combination Skin,"A preservative commonly used in skincare products, suitable for oily and combination skin types."
"glycerin', 'sodium",All Skin type,"A humectant that attracts moisture to the skin, suitable for all skin types."
coffea robusta,Dry Skin,"An amino acid that helps to maintain skin hydration, beneficial for dry skin."
sodium c14-16,All Skin type,"A humectant that attracts moisture to the skin, suitable for all skin types."
"cocamidopropyl betaine',",Oily Skin,A fatty alcohol used as an emollient and thickening agent. It may be comedogenic for oily skin types.
"kaolin', 'bambusa",All Skin type,"A humectant that attracts moisture to the skin, suitable for all skin types."
"rosa damascena',",All Skin type,"A humectant that attracts moisture to the skin, suitable for all skin types."
"glycerin', 'propylene",All Skin type,"A humectant that attracts moisture to the skin, suitable for all skin types."
coffea robusta,All Skin type,"A humectant that attracts moisture to the skin, suitable for all skin types."
"glycerin', 'sodium",All Skin type,"A humectant that attracts moisture to the skin, suitable for all skin types."
"glycerin', 'castor",All Skin type,"A humectant that attracts moisture to the skin, suitable for all skin types."
"glycerin', 'prunus",All Skin type,"A humectant that attracts moisture to the skin, suitable for all skin types."
"paraffin', 'stearic",Combination Skin,"An emulsifier and pH adjuster used in skincare formulations, suitable for oily and combination skin types."
"sucrose', 'coco-caprylate',",Dry Skin,A moisturizing agent derived from coconut oil. It helps to hydrate and replenish dry skin.
"dipropylene glycol',",All Skin type,"A humectant that attracts moisture to the skin, suitable for all skin types."
"erythritol', 'petrolatum',",Dry Skin,"Vitamin E, an antioxidant that helps to protect and moisturize dry skin."
"cocamidopropyl betaine',",All Skin type,"A humectant that attracts moisture to the skin, suitable for all skin types."
"citrus grandis',",All Skin type,"Prunus Amygdalus Dulcis, or Sweet Almond Oil, is rich in fatty acids and vitamins, suitable for all skin types."
coffea robusta,Dry Skin,"An amino acid that helps to maintain skin hydration, beneficial for dry skin."
"sucrose', 'ethylhexyl",Dry Skin,A moisturizing agent derived from coconut oil. It helps to hydrate and replenish dry skin.
aloe barbadenis,Dry Skin,A moisturizing agent derived from coconut oil. It helps to hydrate and replenish dry skin.
"glycerin', 'propylene",Combination Skin,A humectant that attracts moisture to the skin. It is lightweight and suitable for oily and combination skin types.
aloe barbadenis,Oily Skin,A fatty alcohol used as an emollient and thickening agent. It may be comedogenic for oily skin types.
hydrogenated jojoba,Dry Skin,A moisturizing agent derived from coconut oil. It helps to hydrate and replenish dry skin.
"dipropylene glycol',",Combination Skin,A humectant that attracts moisture to the skin. It is lightweight and suitable for oily and combination skin types.
"kaolin', 'coffea",All Skin type,"A humectant that attracts moisture to the skin, suitable for all skin types."
"kaolin', 'cetearyl",Oily Skin,A fatty alcohol used as an emollient and thickening agent. It may be comedogenic for oily skin types.
"alumina', 'capric",Dry Skin,A moisturizing agent derived from coconut oil. It helps to hydrate and replenish dry skin.
"perfluorohexane', 'propanediol',",Combination Skin,A humectant that attracts moisture to the skin. It is lightweight and suitable for oily and combination skin types.
"glycerin', 'castor",All Skin type,"A humectant that attracts moisture to the skin, suitable for all skin types."
sodium myristoryl,Dry Skin,A moisturizing agent derived from coconut oil. It helps to hydrate and replenish dry skin.
"capric triglyceride',",Dry Skin,A moisturizing agent derived from coconut oil. It helps to hydrate and replenish dry skin.
"cetearyl alcohol',",All Skin type,"A humectant that attracts moisture to the skin, suitable for all skin types."
"glycerin', 'hydrogenated",All Skin type,"A humectant that attracts moisture to the skin, suitable for all skin types."
"stearic acid',",Dry Skin,"A humectant that helps to retain moisture in the skin, suitable for dry skin types."
"glycerin', 'propanediol',",Combination Skin,A humectant that attracts moisture to the skin. It is lightweight and suitable for oily and combination skin types.
"butylene glycol',",All Skin type,"A humectant that attracts moisture to the skin, suitable for all skin types."
"sucrose', 'petrolatum',",Oily Skin,A fatty alcohol used as an emollient and thickening agent. It may be comedogenic for oily skin types.
"sucrose', 'sodium",All Skin type,"A humectant that attracts moisture to the skin, suitable for all skin types."
"isopropyl palmitate',",All Skin type,"A humectant that attracts moisture to the skin, suitable for all skin types."
ammonium lauryl,All Skin type,"A humectant that attracts moisture to the skin, suitable for all skin types."
"dicaprylyl carbonate',",Dry Skin,A moisturizing agent derived from coconut oil. It helps to hydrate and replenish dry skin.
"propylene glycol',",Combination Skin,A humectant that attracts moisture to the skin. It is lightweight and suitable for oily and combination skin types.
"mel', 'sodium",All Skin type,"A humectant that attracts moisture to the skin, suitable for all skin types."
"rosa damascena',",Dry Skin,A moisturizing agent derived from coconut oil. It helps to hydrate and replenish dry skin.
"allantoin', 'argania",All Skin type,"A humectant that attracts moisture to the skin, suitable for all skin types."
"propylene glycol',",Combination Skin,"A pH adjuster used in skincare formulations, suitable for oily and combination skin types."
"paraffin', 'kaolin',",Oily Skin,A fatty alcohol used as an emollient and thickening agent. It may be comedogenic for oily skin types.
aloe barbadenis,All Skin type,"A humectant that attracts moisture to the skin, suitable for all skin types."
#VALUE!,Combination Skin,"Commonly known as salt, it may help to absorb excess oil from the skin, suitable for oily and combination skin types."
"sodium bicarbonate',",Combination Skin,"An alpha hydroxy acid (AHA) that helps to exfoliate and brighten the skin, suitable for oily and combination skin types."
"sodium bicarbonate',",Combination Skin,"An alpha hydroxy acid (AHA) that helps to exfoliate and brighten the skin, suitable for oily and combination skin types."
"sodium bicarbonate',",Combination Skin,"An alpha hydroxy acid (AHA) that helps to exfoliate and brighten the skin, suitable for oily and combination skin types."
"sodium bicarbonate',",Combination Skin,"An alpha hydroxy acid (AHA) that helps to exfoliate and brighten the skin, suitable for oily and combination skin types."
#VALUE!,Combination Skin,"Commonly known as salt, it may help to absorb excess oil from the skin, suitable for oily and combination skin types."
"sodium bicarbonate',",Combination Skin,"An alpha hydroxy acid (AHA) that helps to exfoliate and brighten the skin, suitable for oily and combination skin types."
"maris aqua',",Dry Skin,"Vitamin E, an antioxidant that helps to protect and moisturize dry skin."
"sodium chloride',",Combination Skin,"Commonly known as salt, it may help to absorb excess oil from the skin, suitable for oily and combination skin types."
#VALUE!,Combination Skin,"Commonly known as salt, it may help to absorb excess oil from the skin, suitable for oily and combination skin types."
"sodium chloride',",Combination Skin,"Commonly known as salt, it may help to absorb excess oil from the skin, suitable for oily and combination skin types."
"sodium chloride',",All Skin type,"A humectant that attracts moisture to the skin, suitable for all skin types."
"maris sal',",All Skin type,"A humectant that attracts moisture to the skin, suitable for all skin types."
"maris sal',",Dry Skin,A moisturizing agent derived from coconut oil. It helps to hydrate and replenish dry skin.
"himalayan salts',",All Skin type,"Alcohol is used in skincare formulations as a solvent and penetration enhancer, suitable for all skin types in appropriate concentrations."
"maris sal',",All Skin type,"A humectant that attracts moisture to the skin, suitable for all skin types."
#VALUE!,Combination Skin,"Commonly known as salt, it may help to absorb excess oil from the skin, suitable for oily and combination skin types."
"geraniol', 'limonene',",Combination Skin,"Commonly known as salt, it may help to absorb excess oil from the skin, suitable for oily and combination skin types."
"sodium chloride',",Combination Skin,"Commonly known as salt, it may help to absorb excess oil from the skin, suitable for oily and combination skin types."
#VALUE!,Combination Skin,"Commonly known as salt, it may help to absorb excess oil from the skin, suitable for oily and combination skin types."
"cocamidopropyl betaine',",All Skin type,"A humectant that attracts moisture to the skin, suitable for all skin types."
"cocamidopropyl betaine',",All Skin type,"A humectant that attracts moisture to the skin, suitable for all skin types."
peg-7 glyceryl,All Skin type,"A humectant that attracts moisture to the skin, suitable for all skin types."
"cocamidopropyl betaine',",All Skin type,"A humectant that attracts moisture to the skin, suitable for all skin types."
sodium laureth,Dry Skin,A moisturizing agent derived from coconut oil. It helps to hydrate and replenish dry skin.
sodium laureth,All Skin type,"A humectant that attracts moisture to the skin, suitable for all skin types."
"cocamidopropyl betaine',",All Skin type,"A humectant that attracts moisture to the skin, suitable for all skin types."
sodium laureth,All Skin type,"A humectant that attracts moisture to the skin, suitable for all skin types."
sodium laureth,Dry Skin,A moisturizing agent derived from coconut oil. It helps to hydrate and replenish dry skin.
aloe barbadenis,All Skin type,"A humectant that attracts moisture to the skin, suitable for all skin types."
sodium laureth,Dry Skin,A moisturizing agent derived from coconut oil. It helps to hydrate and replenish dry skin.
sodium laureth,Dry Skin,A moisturizing agent derived from coconut oil. It helps to hydrate and replenish dry skin.
"stearic acid',",Oily Skin,A fatty alcohol used as an emollient and thickening agent. It may be comedogenic for oily skin types.
"cocamidopropyl betaine',",Dry Skin,"A natural sugar with moisturizing properties, beneficial for dry skin."
sodium laureth,All Skin type,"A humectant that attracts moisture to the skin, suitable for all skin types."
sodium laureth,All Skin type,"A humectant that attracts moisture to the skin, suitable for all skin types."
aloe barbadenis,All Skin type,"A humectant that attracts moisture to the skin, suitable for all skin types."
sodium laureth,All Skin type,"A humectant that attracts moisture to the skin, suitable for all skin types."
"decyl glucoside',",All Skin type,"A humectant that attracts moisture to the skin, suitable for all skin types."
"cocamidopropyl betaine',",All Skin type,"A humectant that attracts moisture to the skin, suitable for all skin types."
sodium laureth,All Skin type,"A humectant that attracts moisture to the skin, suitable for all skin types."
sodium laureth,All Skin type,"A humectant that attracts moisture to the skin, suitable for all skin types."
sodium laureth,All Skin type,"A humectant that attracts moisture to the skin, suitable for all skin types."
sodium laureth,Combination Skin,A humectant that attracts moisture to the skin. It is lightweight and suitable for oily and combination skin types.
sodium laureth,All Skin type,"A humectant that attracts moisture to the skin, suitable for all skin types."
"glycerin', 'sodium",All Skin type,"A humectant that attracts moisture to the skin, suitable for all skin types."
"sodium coco-sulfate',",All Skin type,"A humectant that attracts moisture to the skin, suitable for all skin types."
"cocomidopropyl betaine',",All Skin type,"A humectant that attracts moisture to the skin, suitable for all skin types."
sodium laureth,All Skin type,"A humectant that attracts moisture to the skin, suitable for all skin types."
sodium laureth,All Skin type,"A humectant that attracts moisture to the skin, suitable for all skin types."
"sodium lauroyl',",Combination Skin,"An alpha hydroxy acid (AHA) that helps to exfoliate and brighten the skin, suitable for oily and combination skin types."
sodium laureth,All Skin type,"A humectant that attracts moisture to the skin, suitable for all skin types."
aloe barbadenis,Dry Skin,A moisturizing agent derived from coconut oil. It helps to hydrate and replenish dry skin.
aloe barbadenis,Dry Skin,A moisturizing agent derived from coconut oil. It helps to hydrate and replenish dry skin.
"glycerin', 'cocamidopropyl",All Skin type,"A humectant that attracts moisture to the skin, suitable for all skin types."
sodium laureth,All Skin type,"A humectant that attracts moisture to the skin, suitable for all skin types."
"coco-glucoside', 'prunus",All Skin type,"A humectant that attracts moisture to the skin, suitable for all skin types."
"citric acid',",Dry Skin,A moisturizing agent derived from coconut oil. It helps to hydrate and replenish dry skin.
"glycerin', 'cocamidopropyl",All Skin type,"A humectant that attracts moisture to the skin, suitable for all skin types."
sodium laureth,Dry Skin,"A natural sugar with moisturizing properties, beneficial for dry skin."
"glycerin', 'peg-7",All Skin type,"A humectant that attracts moisture to the skin, suitable for all skin types."
"coco-glucoside', 'cocamidopropyl",All Skin type,"A humectant that attracts moisture to the skin, suitable for all skin types."
glycine soja,Dry Skin,A moisturizing agent derived from coconut oil. It helps to hydrate and replenish dry skin.
sodium laureth,All Skin type,"A humectant that attracts moisture to the skin, suitable for all skin types."
sodium laureth,All Skin type,"A humectant that attracts moisture to the skin, suitable for all skin types."
sodium laureth,Dry Skin,A moisturizing agent derived from coconut oil. It helps to hydrate and replenish dry skin.
sodium laureth,Dry Skin,A moisturizing agent derived from coconut oil. It helps to hydrate and replenish dry skin.
sodium laureth,All Skin type,"A humectant that attracts moisture to the skin, suitable for all skin types."
"sodium lauroyl',",All Skin type,"A humectant that attracts moisture to the skin, suitable for all skin types."
prunus amygdalus,All Skin type,"Prunus Amygdalus Dulcis, or Sweet Almond Oil, is rich in fatty acids and vitamins, suitable for all skin types."
"rosa damascena',",All Skin type,"A humectant that attracts moisture to the skin, suitable for all skin types."
sodium laureth,All Skin type,"A humectant that attracts moisture to the skin, suitable for all skin types."
"cocamidopropyl betaine',",All Skin type,"A humectant that attracts moisture to the skin, suitable for all skin types."
"glycerin', 'cocamidopropyl",All Skin type,"A humectant that attracts moisture to the skin, suitable for all skin types."
"cocamidopropyl betaine',",Dry Skin,"Vitamin E, an antioxidant that helps to protect and moisturize dry skin."
glycine soja,Dry Skin,"An amino acid that helps to maintain skin hydration, beneficial for dry skin."
helianthus annuus,All Skin type,"A humectant that attracts moisture to the skin, suitable for all skin types."
"glycerin', 'cocamidopropyl",All Skin type,"A humectant that attracts moisture to the skin, suitable for all skin types."
"sodium coco-sulfate',",All Skin type,"A humectant that attracts moisture to the skin, suitable for all skin types."
"glycerin', 'polyglyceryl-4",All Skin type,"A humectant that attracts moisture to the skin, suitable for all skin types."
"cocamidopropyl betaine',",All Skin type,"A humectant that attracts moisture to the skin, suitable for all skin types."
peg-7 glyceryl,All Skin type,"A humectant that attracts moisture to the skin, suitable for all skin types."
"sodium lauroyl',",Combination Skin,"An alpha hydroxy acid (AHA) that helps to exfoliate and brighten the skin, suitable for oily and combination skin types."
sodium laureth,Combination Skin,"Commonly known as salt, it may help to absorb excess oil from the skin, suitable for oily and combination skin types."
sodium laureth,All Skin type,"A humectant that attracts moisture to the skin, suitable for all skin types."
"cocamidopropyl betaine',",All Skin type,"A humectant that attracts moisture to the skin, suitable for all skin types."
sodium laureth,All Skin type,"A humectant that attracts moisture to the skin, suitable for all skin types."
"cocamidopropyl betaine',",All Skin type,"A humectant that attracts moisture to the skin, suitable for all skin types."
"sodium coco-sulfate',",All Skin type,"A humectant that attracts moisture to the skin, suitable for all skin types."
"sodium coco-sulfate',",All Skin type,"A humectant that attracts moisture to the skin, suitable for all skin types."
"glycerin', 'cocamidopropyl",All Skin type,"A humectant that attracts moisture to the skin, suitable for all skin types."
"cocamidopropyl betaine',",All Skin type,"A humectant that attracts moisture to the skin, suitable for all skin types."
"decyl glucoside',",All Skin type,"A humectant that attracts moisture to the skin, suitable for all skin types."
"cocamidopropyl betaine',",All Skin type,"A humectant that attracts moisture to the skin, suitable for all skin types."
sodium laureth,All Skin type,"A humectant that attracts moisture to the skin, suitable for all skin types."
sodium laureth,All Skin type,"A humectant that attracts moisture to the skin, suitable for all skin types."
sesamium indicum,All Skin type,"A humectant that attracts moisture to the skin, suitable for all skin types."
"decyl glucoside',",All Skin type,"A humectant that attracts moisture to the skin, suitable for all skin types."
sodium cocoyl,Oily Skin,A fatty alcohol used as an emollient and thickening agent. It may be comedogenic for oily skin types.
"mipa-laureth sulfate',",Dry Skin,A moisturizing agent derived from coconut oil. It helps to hydrate and replenish dry skin.
sodium laureth,All Skin type,"A humectant that attracts moisture to the skin, suitable for all skin types."
"canola oil',",Dry Skin,"Vitamin E, an antioxidant that helps to protect and moisturize dry skin."
sodium c14-16,Dry Skin,A moisturizing agent derived from coconut oil. It helps to hydrate and replenish dry skin.
"capric triglyceride',",Dry Skin,A moisturizing agent derived from coconut oil. It helps to hydrate and replenish dry skin.
aloe barbadenis,All Skin type,"A humectant that attracts moisture to the skin, suitable for all skin types."
sodium cocoyl,Oily Skin,A fatty alcohol used as an emollient and thickening agent. It may be comedogenic for oily skin types.
"paraffinum liquidum',",Combination Skin,"A thickening agent used in skincare products, suitable for oily and combination skin types."
"glycerin', 'cocamidopropyl",All Skin type,"A humectant that attracts moisture to the skin, suitable for all skin types."
"cocamidopropyl betaine',",All Skin type,"A humectant that attracts moisture to the skin, suitable for all skin types."
sodium laureth,Combination Skin,"Commonly known as salt, it may help to absorb excess oil from the skin, suitable for oily and combination skin types."
aloe barbadenis,Dry Skin,A moisturizing agent derived from coconut oil. It helps to hydrate and replenish dry skin.
sodium trideceth,All Skin type,"A humectant that attracts moisture to the skin, suitable for all skin types."
"decyl glucoside',",Combination Skin,A humectant that attracts moisture to the skin. It is lightweight and suitable for oily and combination skin types.
sesamium indicum,All Skin type,"A humectant that attracts moisture to the skin, suitable for all skin types."
"glycerin', 'sodium",All Skin type,"A humectant that attracts moisture to the skin, suitable for all skin types."
"decyl glucoside',",All Skin type,"A humectant that attracts moisture to the skin, suitable for all skin types."
"glycerin', 'cocamidopropyl",All Skin type,"A humectant that attracts moisture to the skin, suitable for all skin types."
aloe barbadenis,All Skin type,"A humectant that attracts moisture to the skin, suitable for all skin types."
"mipa-laureth sulfate',",Dry Skin,A moisturizing agent derived from coconut oil. It helps to hydrate and replenish dry skin.
"glycerin', 'cocamidopropyl",All Skin type,"A humectant that attracts moisture to the skin, suitable for all skin types."
"decyl glucoside',",Combination Skin,A humectant that attracts moisture to the skin. It is lightweight and suitable for oily and combination skin types.
sodium lauryl,All Skin type,"A humectant that attracts moisture to the skin, suitable for all skin types."
"cetyl alcohol',",Oily Skin,A fatty alcohol used as an emollient and thickening agent. It may be comedogenic for oily skin types.
"coco-glucoside', 'cocamidopropyl",All Skin type,"A humectant that attracts moisture to the skin, suitable for all skin types."
sodium laureth,All Skin type,"A humectant that attracts moisture to the skin, suitable for all skin types."
sodium laureth,Combination Skin,"Commonly known as salt, it may help to absorb excess oil from the skin, suitable for oily and combination skin types."
"glycerin', 'cocamidopropyl",All Skin type,"A humectant that attracts moisture to the skin, suitable for all skin types."
sodium c14-16,Dry Skin,"Vitamin E, an antioxidant that helps to protect and moisturize dry skin."
"cocamidopropyl betaine',",All Skin type,"A humectant that attracts moisture to the skin, suitable for all skin types."
sodium laureth,Dry Skin,A moisturizing agent derived from coconut oil. It helps to hydrate and replenish dry skin.
"decyl glucoside',",All Skin type,"A humectant that attracts moisture to the skin, suitable for all skin types."
"decyl glucoside',",All Skin type,"A humectant that attracts moisture to the skin, suitable for all skin types."
sesamium indicum,All Skin type,"A humectant that attracts moisture to the skin, suitable for all skin types."
sodium laureth,All Skin type,"A humectant that attracts moisture to the skin, suitable for all skin types."
sodium laureth,Combination Skin,"Commonly known as salt, it may help to absorb excess oil from the skin, suitable for oily and combination skin types."
"sodium cocoamphoacetate',",All Skin type,"A humectant that attracts moisture to the skin, suitable for all skin types."
disodium lauryl,Dry Skin,"Vitamin E, an antioxidant that helps to protect and moisturize dry skin."
sodium coceth,Combination Skin,"Commonly known as salt, it may help to absorb excess oil from the skin, suitable for oily and combination skin types."
sodium laureth,All Skin type,"A humectant that attracts moisture to the skin, suitable for all skin types."
sodium laureth,All Skin type,"A humectant that attracts moisture to the skin, suitable for all skin types."
sodium laureth,All Skin type,"A humectant that attracts moisture to the skin, suitable for all skin types."
sodium laureth,Combination Skin,"Commonly known as salt, it may help to absorb excess oil from the skin, suitable for oily and combination skin types."
"decyl glucoside',",All Skin type,"A humectant that attracts moisture to the skin, suitable for all skin types."
sodium laureth,Dry Skin,"An amino acid that helps to maintain skin hydration, beneficial for dry skin."
carthamus tinctorius,Dry Skin,"Vitamin E, an antioxidant that helps to protect and moisturize dry skin."
sodium laureth,Combination Skin,"Commonly known as salt, it may help to absorb excess oil from the skin, suitable for oily and combination skin types."
cocos nucifera,Combination Skin,Salicylate helps exfoliate the skin and reduce oiliness. Suitable for combination skin types.
"decyl glucoside',",All Skin type,"A humectant that attracts moisture to the skin, suitable for all skin types."
"lauryl glucoside',",Combination Skin,"Commonly known as salt, it may help to absorb excess oil from the skin, suitable for oily and combination skin types."
"lavandula angustifolia',",All Skin type,"A humectant that attracts moisture to the skin, suitable for all skin types."
sodium laureth,Combination Skin,"Commonly known as salt, it may help to absorb excess oil from the skin, suitable for oily and combination skin types."
glycine soja,Dry Skin,"An amino acid that helps to maintain skin hydration, beneficial for dry skin."
sodium methyl,Combination Skin,"Commonly known as salt, it may help to absorb excess oil from the skin, suitable for oily and combination skin types."
helianthus annuus,Dry Skin,A moisturizing agent derived from coconut oil. It helps to hydrate and replenish dry skin.
"ethylhexyl palmitate',",Dry Skin,"Vitamin E, an antioxidant that helps to protect and moisturize dry skin."
sesamium indicum,Dry Skin,A moisturizing agent derived from coconut oil. It helps to hydrate and replenish dry skin.
ammonium lauryl,Combination Skin,"An alpha hydroxy acid (AHA) that helps to exfoliate and brighten the skin, suitable for oily and combination skin types."
capric triglyceride,Dry Skin,A moisturizing agent derived from coconut oil. It helps to hydrate and replenish dry skin.
cocos nucifera,Combination Skin,Salicylate helps exfoliate the skin and reduce oiliness. Suitable for combination skin types.
cocos nucifera,All Skin type,"Alcohol is used in skincare formulations as a solvent and penetration enhancer, suitable for all skin types in appropriate concentrations."
helianthus annuus,Dry Skin,A moisturizing agent derived from coconut oil. It helps to hydrate and replenish dry skin.
cocos nucifera,Combination Skin,Salicylate helps exfoliate the skin and reduce oiliness. Suitable for combination skin types.
"magnesium chloride',",Combination Skin,"Commonly known as salt, it may help to absorb excess oil from the skin, suitable for oily and combination skin types."
aloe barbadenis,Dry Skin,A moisturizing agent derived from coconut oil. It helps to hydrate and replenish dry skin.
prunus amygdalus,Dry Skin,"Vitamin E, an antioxidant that helps to protect and moisturize dry skin."
"sodium lauroyl',",All Skin type,"A humectant that attracts moisture to the skin, suitable for all skin types."
prunus amygdalus,Dry Skin,"Vitamin E, an antioxidant that helps to protect and moisturize dry skin."
"capric triglyceride',",Dry Skin,A moisturizing agent derived from coconut oil. It helps to hydrate and replenish dry skin.
prunus amygdalus,All Skin type,"A humectant that attracts moisture to the skin, suitable for all skin types."
